Year,Year_Num,Total Cost of Cultivation C2 (Rs./Hectare),Fertilizer cost (Rs./Hectare),Irrigation charges (Rs./Hectare),Seed cost (Rs./Hectare),Human Labour cost (Rs./Hectare)
2022-23,2022,72747.06899999999,5829.883,781.706,3281.0280000000002,5834.1089999999995
2023-24,2023,73613.752,5869.308,810.862,3426.1000000000004,5867.07
